Community_ID,Size,Top_Hero,Top_Hero_PageRank,Percentage
0,1376,CAPTAIN AMERICA,0.005117005847250826,21.4%
4,1331,WOLVERINE/LOGAN ,0.003870498735889702,20.7%
21,897,SPIDER-MAN/PETER PAR,0.005322842370777829,14.0%
8,619,DR. STRANGE/STEPHEN ,0.003038336066866195,9.6%
3,534,THING/BENJAMIN J. GR,0.0036740169716099674,8.3%
6,382,THOR/DR. DONALD BLAK,0.003199945943603439,5.9%
5,240,NOVA/RICHARD RIDER,0.0016022496321704892,3.7%
2,240,SUB-MARINER/NAMOR MA,0.002464494741489176,3.7%
9,220,GHOST RIDER III/DAN ,0.0010739385455736262,3.4%
7,158,HULK/DR. ROBERT BRUC,0.0030165217490534693,2.5%
19,118,BRUTE | MUTANT X-VER,0.0004495371181980036,1.8%
10,104,PIXIE/ [ETERNAL],0.00029606879302903797,1.6%
13,60,"ROSS, EVERETT KENNET",0.00036476622225625245,0.9%
20,33,KILLRAVEN/JONATHAN R,0.0003112960481063589,0.5%
11,28,"MASON, LOUISE",0.0003751986119380466,0.4%
15,11,QABIRI,0.00015627757283005793,0.2%
18,9,CHI-CHEE,8.942277793157135e-05,0.1%
12,9,"LUDLUM, ROSS",0.0001636951175885473,0.1%
22,8,KARMA 2013,0.00010633932444387696,0.1%
23,8,THINGEE,0.00010649008381373375,0.1%
25,7,PANTHER CUB/,0.00015561780267662619,0.1%
27,6,DR. MIDAS/,0.00017191383910026805,0.1%
24,6,"REVER, BRAD",9.377683458716509e-05,0.1%
16,5,"KOLE, MICHELLE",8.547270276379167e-05,0.1%
14,5,"MCHELE, JEREMY",8.528228000260075e-05,0.1%
26,5,"BAPTISTE, TANTE MATT",8.485575467431905e-05,0.1%
17,5,FOOLKILLER III/KURT ,8.417267141774658e-05,0.1%
1,2,STEEL SPIDER/OLLIE O,0.0001556178026766262,0.0%
