Community_A,Community_B,Connections,Size_A,Size_B
0,4,8128,1376,1331
0,8,7602,1376,619
0,21,4954,1376,897
0,3,4916,1376,534
4,8,4853,1331,619
0,6,4240,1376,382
3,4,2637,534,1331
3,8,2305,534,619
0,5,2185,1376,240
0,2,2159,1376,240
6,8,2153,382,619
4,21,2000,1331,897
4,6,1855,1331,382
4,5,1586,1331,240
8,21,1273,619,897
5,8,1185,240,619
0,7,1145,1376,158
2,4,1008,240,1331
3,6,991,534,382
3,21,897,534,897
3,5,838,534,240
6,21,760,382,897
0,9,706,1376,220
5,21,680,240,897
2,3,574,240,534
2,8,523,240,619
2,21,521,240,897
0,13,491,1376,60
5,6,424,240,382
2,6,411,240,382
7,8,381,158,619
9,21,357,220,897
4,7,310,1331,158
8,9,308,619,220
4,9,226,1331,220
3,7,223,534,158
13,21,196,60,897
4,19,196,1331,118
0,10,189,1376,104
6,7,185,382,158
7,21,178,158,897
2,5,178,240,240
3,10,152,534,104
8,10,137,619,104
3,13,132,534,60
4,13,116,1331,60
6,10,108,382,104
4,10,107,1331,104
3,9,100,534,220
2,7,89,240,158
0,11,61,1376,28
6,9,61,382,220
2,10,60,240,104
6,13,59,382,60
4,11,58,1331,28
8,13,50,619,60
2,13,49,240,60
5,7,45,240,158
8,11,42,619,28
0,20,33,1376,33
2,9,31,240,220
5,13,29,240,60
3,11,27,534,28
7,13,24,158,60
11,21,23,28,897
7,10,19,158,104
0,18,14,1376,9
10,21,14,104,897
4,15,13,1331,11
4,18,13,1331,9
5,10,13,240,104
6,11,13,382,28
20,21,10,33,897
19,21,10,118,897
5,9,10,240,220
4,23,8,1331,8
4,22,8,1331,8
3,20,7,534,33
2,11,6,240,28
0,24,6,1376,6
0,17,5,1376,5
4,26,5,1331,5
0,14,5,1376,5
4,16,5,1331,5
7,9,5,158,220
8,18,4,619,9
18,21,4,9,897
0,27,4,1376,6
9,10,4,220,104
3,18,4,534,9
8,20,3,619,33
7,11,2,158,28
17,21,2,5,897
5,20,1,240,33
5,11,1,240,28
9,13,1,220,60
9,20,1,220,33
